Warning message:
 ###########!#################| x15 
Population 28 begin.Population 26 begin.
Population 26 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 27 begin.
Population 28 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 29 begin.
Population 27 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 28 begin.
Population 29 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 30 begin.
Population 28 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 29 begin.
Population 30 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 31 begin.
Population 29 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 30 begin.
Population 31 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 32 begin.
Population 32 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 33 begin.
Population 30 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 31 begin.
Population 31 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 

Population 33 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 #Population 32 begin.##########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 34 begin.
Population 32 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!####
Population 34 done.
##Current best crit: 290.79231984766 
Feature importance:
## ###################!##| x14 
 #######################!##########| ###########| x15 
x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 33 begin.Population 35 begin.
Population 35 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 36 begin.
Population 33 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 34 begin.
Population 36 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 

Population 34 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#######Population 37 begin.##########| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 35 begin.
Population 37 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 38 begin.
Population 35 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 36 begin.
Population 38 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 39 begin.
Population 36 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 37 begin.
Population 39 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 40 begin.
Population 37 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 38 begin.
Population 40 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 41 begin.
Population 38 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 39 begin.
Population 41 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 42 begin.
Population 39 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 40 begin.
Population 42 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 43 begin.
Population 40 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 41 begin.
Population 43 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 44 begin.
Population 41 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 42 begin.
Population 44 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 45 begin.
Population 42 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 43 begin.
Population 45 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 46 begin.
Population 43 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 44 begin.
Population 46 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 47 begin.
Population 44 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 45 begin.
Population 47 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 

Population 45 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################Population 48 begin.| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 46 begin.
Population 48 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 49 begin.
Population 46 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 47 begin.
Population 47 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 48 begin.
Population 49 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 50 begin.
Population 48 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 49 begin.
Population 50 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 

Population 49 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 50 begin.
Population 50 done.
Current best crit: 290.79231984766 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
Population 1 begin.Population 1 begin.
Population 1 done.
Current best crit: 45516.1618069961 
Feature importance:
 ###########!#################| x1 
 ###########!#################| x2 
 ###########!#################| x3 
 ###########!#################| x4 
 ###########!#################| x5 
 ###########!#################| x6 
 ###########!#################| x7 
 ###########!#################| x8 
 ###########!#################| x9 
 ###########!#################| x10 
 ###########!#################| x11 
 ###########!#################| x12 
 ###########!#################| x13 
 ###########!#################| x14 
 ###########!#################| x15 
 ###########!#################| x16 
 ###########!#################| x17 
 ###########!#################| x18 
 ###########!#################| x19 
 ###########!#################| x20 
 ###########!#################| x21 
 ###########!#################| x22 
 ###########!#################| x23 
 ###########!#################| x24 
 ###########!#################| x25 
 ###########!#################| x26 
 ###########!#################| x27 
 ###########!#################| x28 
 ###########!#################| x29 
 ###########!#################| x30 
 ###########!#################| x31 
 ###########!#################| x32 
 ###########!#################| x33 
 ###########!#################| x34 
 ###########!#################| x35 
 ###########!#################| x36 
 ###########!#################| x37 
 ###########!#################| x38 
 ###########!#################| x39 
 ###########!#################| x40 
 ###########!#################| x41 
 ###########!#################| x42 
 ###########!#################| x43 
 ###########!#################| x44 
 ###########!#################| x45 
 ###########!#################| x46 
 ###########!#################| x47 
 ###########!#################| x48 
 ###########!#################| x49 
 ###########!#################| x50 
 ###########!#################| x51 
 ###########!#################| x52 
 ###########!#################| x53 
 ###########!#################| x54 
 ###########!#################| x55 
 ###########!#################| x56 
 ###########!#################| x57 
 ###########!#################| x58 
 ###########!#################| x59 
 ###########!#################| x60 
 ###########!#################| x61 
 ###########!#################| x62 
 ###########!#################| x63 
 ###########!#################| x64 
 ###########!#################| x65 
 ###########!#################| x66 
 ###########!#################| x67 
 ###########!#################| x68 
 ###########!#################| x69 
 ###########!#################| x70 
 ###########!#################| x71 
 ###########!#################| x72 
 ###########!#################| x73 
 ###########!#################| x74 
 ###########!#################| x75 
 ###########!#################| x76 
 ###########!#################| x77 
 ###########!#################| x78 
 ###########!#################| x79 
 ###########!#################| x80 
 ###########!#################| x81 
 ###########!#################| x82 
 ###########!#################| x83 
 ###########!#################| x84 
 ###########!#################| x85 
 ###########!#################| x86 
 ###########!#################| x87 
 ###########!#################| x88 
 ###########!#################| x89 
 ###########!#################| x90 
 ###########!#################| x91 
 ###########!#################| x92 
 ###########!#################| x93 
 ###########!#################| x94 
 ###########!#################| x95 
 ###########!#################| x96 
 ###########!#################| x97 
 ###########!#################| x98 
 ###########!#################| x99 
 ###########!#################| x100 
 ###########!#################| x101 
 ###########!#################| x102 
 ###########!#################| x103 
 ###########!#################| x104 
 ###########!#################| x105 
 ###########!#################| x106 
 ###########!#################| x107 
 ###########!#################| x108 
 ###########!#################| x109 
 ###########!#################| x110 
 ###########!#################| x111 
 ###########!#################| x112 
 ###########!#################| x113 
 ###########!#################| x114 
 ###########!#################| x115 
 ###########!#################| x116 
 ###########!#################| x117 
 ###########!#################| x118 
 ###########!#################| x119 
 ###########!#################| x120 
 ###########!#################| x121 
 ###########!#################| x122 
 ###########!#################| x123 
 ###########!#################| x124 
 ###########!#################| x125 
 ###########!#################| x126 
 ###########!#################| x127 
 ###########!#################| x128 
 ###########!#################| x129 
 ###########!#################| x130 
 ###########!#################| x131 
 ###########!#################| x132 
 ###########!#################| x133 
 ###########!#################| x134 
 ###########!#################| x135 
 ###########!#################| x136 
 ###########!#################| x137 
 ###########!#################| x138 
 ###########!#################| x139 
 ###########!#################| x140 
 ###########!#################| x141 
 ###########!#################| x142 
 ###########!#################| x143 
 ###########!#################| x144 
 ###########!#################| x145 
 ###########!#################| x146 
 ###########!#################| x147 
 ###########!#################| x148 
 ###########!#################| x149 
 ###########!#################| x150 
 ###########!#################| x151 
 ###########!#################| x152 
 ###########!#################| x153 
 ###########!#################| x154 
 ###########!#################| x155 
 ###########!#################| x156 
 ###########!#################| x157 
 ###########!#################| x158 
 ###########!#################| x159 
 ###########!#################| x160 
 ###########!#################| x161 
 ###########!#################| x162 
 ###########!#################| x163 
 ###########!#################| x164 
 ###########!#################| x165 
 ###########!#################| x166 
 ###########!#################| x167 
 ###########!#################| x168 
 ###########!#################| x169 
 ###########!#################| x170 
 ###########!#################| x171 
 ###########!#################| x172 
 ###########!#################| x173 
 ###########!#################| x174 
 ###########!#################| x175 
 ###########!#################| x176 
 ###########!#################| x177 
 ###########!#################| x178 
 ###########!#################| x179 
 ###########!#################| x180 
 ###########!#################| x181 
 ###########!#################| x182 
 ###########!#################| x183 
 ###########!#################| x184 
 ###########!#################| x185 
 ###########!#################| x186 
 ###########!#################| x187 
 ###########!#################| x188 
 ###########!#################| x189 
 ###########!#################| x190 
 ###########!#################| x191 
 ###########!#################| x192 
 ###########!#################| x193 
 ###########!#################| x194 
 ###########!#################| x195 
 ###########!#################| x196 
 ###########!#################| x197 
 ###########!#################| x198 
 ###########!#################| x199 
 ###########!#################| x200 
 ###########!#################| x201 
 ###########!#################| x202 
 ###########!#################| x203 
 ###########!#################| x204 
 ###########!#################| x205 
 ###########!#################| x206 
 ###########!#################| x207 
 ###########!#################| x208 
 ###########!#################| x209 
 ###########!#################| x210 
 ###########!#################| x211 
 ###########!#################| x212 
 ###########!#################| x213 
 ###########!#################| x214 
 ###########!#################| x215 
 ###########!#################| x216 
 ###########!#################| x217 
 ###########!#################| x218 
 ###########!#################| x219 
 ###########!#################| x220 
 ###########!#################| x221 
 ###########!#################| x222 
 ###########!#################| x223 
 ###########!#################| x224 
 ###########!#################| x225 
 ###########!#################| x226 
 ###########!#################| x227 
 ###########!#################| x228 
 ###########!#################| x229 
 ###########!#################| 
Population 1 done.
x230 Current best crit: 45516.1618069961 
Feature importance:

 ###########!######## #################| ##x231 
#! #################!##########################| ##| x232 
 ###########!#################| x233 
 ###########!#################| x234 
 ###########!#################| x235 
 ###########!#################| x236 
 ###########!#################| x237 
 ###########!#################| x238 
 ###########!#################| x239 
 ###########!#################| x240 
 ###########!#################| x241 
 ###########!#################| x242 
 ###########!#################| x243 
 ###########!#################| x244 
 ###########!#################| x245 
 ###########!#################| x246 
 ###########!#################| x247 
 ###########!#################| x248 
 ###########!#################| x249 
 ###########!#################| x250 
 ###########!#################| x251 
 ###########!#################| x252 
 ###########!#################| x253 
 ###########!#################| x254 
 ###########!#################| x255 
 ###########!#################| x256 
 ###########!#################| x257 
 ###########!#################| x258 
 ###########!#################| x259 
 ###########!#################| x260 
 ###########!#################| x261 
 ###########!#################| x262 
 ###########!#################| x263 
 ###########!#################| x264 
 ###########!#################| x265 
 ###########!#################| x266 
 ###########!#################| x267 
 ###########!#################| x268 
 ###########!#################| x269 
 ###########!#################| x270 
 ###########!#################| x271 
 ###########!#################| x272 
 ###########!#################| x273 
 ###########!#################| x274 
 ###########!#################| x275 
 ###########!#################| x276 
 ###########!#################| x277 
 ###########!#################| x278 
 ###########!#################| x279 
 ###########!#################| x280 
 ###########!#################| x281 
